Baseline Natural Flux	Atmospheric Lifetime of N2O	Effective Sensitivity of Temperature on N2O Flux	
    12650635	   156.75569	0.0028580672	
   9146857.9	   199.79467	 0.047247652	
    10645481	   181.51522	        0.06	
   9394162.8	         200	        0.06	
    13121002	   155.06685	  0.03677658	
    13699424	   152.66962	           0	
    10237152	   190.04854	           0	
    12414490	   160.33044	        0.06	
    10532703	   189.07354	           0	
   9911919.8	   185.52537	  0.05174666	
    12650635	   156.75569	0.0028580672	
   9146857.9	   199.79467	 0.047247652	
    10645481	   181.51522	 0.059778037	
   9394162.8	         200	        0.06	
   9824058.4	   189.26253	        0.06	
    13699424	   152.66962	           0	
    10237152	   190.04854	           0	
    12414490	   160.33044	        0.06	
    10532703	   189.07354	           0	
   9911919.8	   185.52537	  0.05174666	
   9638161.7	   191.19211	 0.035544023	
   9146857.9	   199.79467	 0.047247652	
    10645481	   181.51522	 0.059778037	
   9394162.8	         200	        0.06	
   9824058.4	   189.26253	        0.06	
    13699424	   152.66962	           0	
    10237152	   190.04854	           0	
    12414490	   160.33044	        0.06	
   9589318.5	   197.80858	  0.04082422	
   9911919.8	   185.52537	        0.06	
   9638161.7	   191.19211	 0.035544023	
   9146857.9	   199.79467	 0.047247652	
    10645481	   181.51522	 0.059778037	
   9394162.8	         200	        0.06	
   9824058.4	   189.26253	        0.06	
    13772058	   142.41661	 0.041215552	
    10237152	   190.04854	           0	
     9070500	   198.72647	        0.06	
   9589318.5	   197.80858	  0.04082422	
   9911919.8	   185.52537	        0.06	
   9638161.7	   191.19211	 0.035544023	
   9146857.9	   199.79467	 0.047247652	
    10645481	   181.51522	 0.059778037	
   9394162.8	         200	        0.06	
   9824058.4	   189.26253	        0.06	
    13772058	   142.41661	 0.041215552	
    10237152	   190.04854	           0	
     9070500	   198.72647	        0.06	
   9589318.5	   197.80858	  0.04082422	
   9911919.8	   185.52537	        0.06	
    11522080	   171.31147	 0.022697903	
    10030309	   189.33948	        0.06	
    10645481	   181.51522	 0.059778037	
   9394162.8	         200	        0.06	
   9824058.4	   189.26253	        0.06	
    13772058	   142.41661	 0.041215552	
    10544803	   184.14281	 0.014122908	
     9070500	   198.72647	        0.06	
   9589318.5	   197.80858	  0.04082422	
   9911919.8	   185.52537	        0.06	
    11522080	   171.31147	 0.022697903	
    10030309	   189.33948	        0.06	
    10371390	   181.51522	 0.059778037	
   9394162.8	         200	        0.06	
   9824058.4	   189.26253	        0.06	
    13772058	   142.41661	 0.041215552	
    10544803	   184.14281	 0.014122908	
     9070500	   198.72647	        0.06	
   9589318.5	   197.80858	  0.04082422	
   9911919.8	   185.52537	        0.06	
    11522080	   171.31147	 0.022697903	
    10030309	   189.33948	        0.06	
    10371390	   181.51522	 0.059778037	
   9394162.8	         200	        0.06	
   9824058.4	   189.26253	        0.06	
    12943577	   159.53066	 0.015058612	
    10174560	    189.7813	 0.013420127	
   9888003.3	   188.31577	 0.052854509	
   9589318.5	   197.80858	  0.04082422	
   9911919.8	   185.52537	        0.06	
    11522080	   171.31147	 0.022697903	
    10030309	   189.33948	        0.06	
    10371390	   181.51522	 0.059778037	
   9394162.8	         200	        0.06	
   9824058.4	   189.26253	        0.06	
    12943577	   159.53066	 0.015058612	
    10174560	    189.7813	 0.013420127	
   9888003.3	   188.31577	 0.052854509	
   9488477.1	    197.4914	        0.06	
   9911919.8	   185.52537	        0.06	
    11522080	   171.31147	 0.022697903	
    10030309	   189.33948	        0.06	
    10371390	   181.51522	 0.059778037	
   9394162.8	         200	        0.06	
   9824058.4	   189.26253	        0.06	
    12943577	   159.53066	 0.015058612	
    10174560	    189.7813	 0.013420127	
   9888003.3	   188.31577	 0.052854509	
   9488477.1	    197.4914	        0.06	
    10620252	   181.14059	 0.038961531	
    11522080	   171.31147	 0.022697903	
    10030309	   189.33948	        0.06	
    10371390	   181.51522	 0.059778037	
   9394162.8	         200	        0.06	
   9824058.4	   189.26253	        0.06	
    12943577	   159.53066	 0.015058612	
    10174560	    189.7813	 0.013420127	
   9888003.3	   188.31577	 0.052854509	
   9488477.1	    197.4914	        0.06	
    10062660	   190.24642	  0.03227452	
    11522080	   171.31147	 0.022697903	
   9318895.1	   199.45427	  0.05539173	
    10371390	   181.51522	 0.059778037	
   9394162.8	         200	        0.06	
   9824058.4	   189.26253	        0.06	
    12943577	   159.53066	 0.015058612	
    10174560	    189.7813	 0.013420127	
   9888003.3	   188.31577	 0.052854509	
   9488477.1	    197.4914	        0.06	
    10062660	   190.24642	  0.03227452	
    11522080	   171.31147	 0.022697903	
   9318895.1	   199.45427	  0.05539173	
    10262898	   183.80291	        0.06	
   9394162.8	         200	        0.06	
   9824058.4	   189.26253	        0.06	
    12943577	   159.53066	 0.015058612	
   9669547.8	         200	 0.018247803	
   9888003.3	   188.31577	 0.052854509	
   9488477.1	    197.4914	        0.06	
    10062660	   190.24642	  0.03227452	
    10876302	   179.36733	 0.036817579	
   9305794.5	   198.12419	        0.06	
    10262898	   183.80291	        0.06	
   9394162.8	         200	        0.06	
   9824058.4	   189.26253	        0.06	
    12845289	   157.24485	 0.034365702	
   9669547.8	         200	 0.018247803	
     9545827	   192.50201	        0.06	
   9488477.1	    197.4914	        0.06	
   9530789.6	   199.47588	  0.03190956	
    10876302	   179.36733	 0.036817579	
   9305794.5	   198.12419	        0.06	
    10262898	   183.80291	        0.06	
   9394162.8	         200	        0.06	
   9824058.4	   189.26253	        0.06	
    12845289	   157.24485	 0.034365702	
   9669547.8	         200	 0.018247803	
     9545827	   192.50201	        0.06	
   9488477.1	    197.4914	        0.06	
   9530789.6	   199.47588	  0.03190956	
    10876302	   179.36733	 0.036817579	
   9243115.2	   199.77633	        0.06	
    10262898	   183.80291	        0.06	
   9881226.4	   191.18049	        0.06	
   9824058.4	   189.26253	        0.06	
    12845289	   157.24485	 0.034365702	
   9669547.8	         200	 0.018247803	
     9545827	   192.50201	        0.06	
   9488477.1	    197.4914	        0.06	
   9530789.6	   199.47588	  0.03190956	
    10876302	   179.36733	 0.036817579	
   9243115.2	   199.77633	        0.06	
    10262898	   183.80291	        0.06	
   9881226.4	   191.18049	        0.06	
   9824058.4	   189.26253	        0.06	
    12608759	   156.14639	 0.053616509	
   9669547.8	         200	 0.018247803	
     9545827	   192.50201	        0.06	
   9488477.1	    197.4914	        0.06	
   9530789.6	   199.47588	  0.03190956	
    10876302	   179.36733	 0.036817579	
   9243115.2	   199.77633	        0.06	
    10262898	   183.80291	        0.06	
   9881226.4	   191.18049	        0.06	
   9824058.4	   189.26253	        0.06	
    12608759	   156.14639	 0.053616509	
   9669547.8	         200	 0.018247803	
     9545827	   192.50201	        0.06	
   9488477.1	    197.4914	        0.06	
   9530789.6	   199.47588	  0.03190956	
    10876302	   179.36733	 0.036817579	
   9243115.2	   199.77633	        0.06	
    10262898	   183.80291	        0.06	
   9619816.8	   192.37377	        0.06	
   9824058.4	   189.26253	        0.06	
    12608759	   156.14639	 0.053616509	
   9514548.5	   196.74987	 0.037350291	
     9545827	   192.50201	        0.06	
   9488477.1	    197.4914	        0.06	
   9530789.6	   199.47588	  0.03190956	
    10876302	   179.36733	 0.036817579	
   9243115.2	   199.77633	        0.06	
    10262898	   183.80291	        0.06	
   9619816.8	   192.37377	        0.06	
   9824058.4	   189.26253	        0.06	
    12608759	   156.14639	 0.053616509	
   9514548.5	   196.74987	 0.037350291	
     9545827	   192.50201	        0.06	
