Time,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Total CH4 Emissions,87.61328845,88.39116711,89.26282464,89.89074057,91.35674943,92.40132432,93.24998316,94.56080194,95.71237193,96.4666946,97.77187103,98.42938116,99.26614632,100.6125584,102.2840587,103.0579197,104.0889435,105.4397415,106.7459316,108.095107,109.1336385,109.809348,110.4858104,112.2535641,112.633506,113.6704269,114.5456303,115.74748,116.7958666,118.0199977,119.6701788,119.9075078,121.4219873,122.3437659,123.9532999,124.8946044,126.4647048,127.1823371,127.905393,129.5013568,130.1349943,132.2180939,134.7060241,136.6296869,138.9310562,141.022964,142.7064022,144.7944965,147.2720295,150.2157149,152.2010084,155.2719352,160.5733576,165.6818323,170.3710079,174.7404471,180.6711175,186.0555677,188.3855399,192.6867573,197.2611005,205.1383413,207.2122992,216.1922656,216.556163,222.6664157,226.3106958,232.3331465,235.3354027,239.1848516,244.4183955,249.2895331,257.2102054,260.294725,261.8082771,263.0585486,269.9482097,274.0301524,276.3333545,281.6000656,283.3464702,279.7894207,287.6693154,281.6176584,285.0030452,285.6752697,290.8084488,295.0485147,298.6854951,302.1641744,305.2725547,318.7311921,299.4017955,299.4425141,310.2518368,305.4095889,307.2912075,331.2889198,315.3326212,309.4083709,310.1868098,312.8963787,322.2788312,328.1242242,338.9417722,346.3955546,356.4696896,355.0225755,360.4917105,364.2003634,370.8962528,372.6576832,380.8097666,381.5943928,387.8735392
Total CO2 Emissions,4465.964118,4768.881211,4835.690374,5115.661449,5244.746846,5479.764123,5710.02176,6046.017596,5993.608873,6115.290592,6271.034671,6113.829366,6122.579082,6265.77241,5938.952989,5864.556462,6101.45338,6227.239689,6205.48845,5833.870141,6290.309927,6065.154041,6219.539618,6673.115779,6735.335735,6795.885288,6766.33348,7280.512887,7308.504363,7704.453865,7679.533788,7335.495983,6651.920781,6798.478465,7038.366964,7216.325137,7612.653059,7825.863317,7580.799501,7836.395431,8156.903938,8184.224899,8268.324116,8410.163203,8377.774642,7621.090604,8344.523463,9027.474124,9393.938985,9334.309155,10044.66935,11290.69099,11518.76401,11706.25609,12085.37713,12923.06379,13695.21983,14153.07212,14642.00173,14941.19786,15353.90678,15695.77643,16083.68449,16722.31763,17266.28028,17924.48137,18518.22743,19135.12072,19720.54151,20540.23517,21456.95682,21678.12813,22109.18551,23064.16218,22861.3745,22836.19669,23873.37797,24612.35105,25215.439,25589.01092,25266.66414,24889.46718,24681.4932,25343.62707,25945.12239,26305.73628,26803.40164,27328.50313,28027.36201,28374.72758,27966.71914,28681.58913,28688.84032,28363.26228,28376.6822,28815.25236,29248.04657,32092.80975,29798.19682,29186.43353,29661.88015,29018.34355,29933.39529,30509.19137,32433.49191,33416.62986,34631.86563,35352.2328,34451.21047,34225.39115,36133.83606,37266.02926,37953.91187,38762.71103,39630.94805
Total N2O Emissions,1356.16296,1369.103372,1384.515481,1399.355378,1415.597756,1432.563082,1449.951799,1466.751575,1483.124656,1499.100897,1515.944833,1533.705815,1559.234255,1589.117029,1621.623061,1656.958176,1693.364385,1728.658905,1761.607495,1791.469847,1818.808186,1843.606981,1867.742389,1893.417388,1920.280893,1944.746823,1968.032742,1990.269408,2010.725377,2028.074719,2043.067781,2053.983826,2064.648995,2073.559632,2083.434567,2093.473152,2103.273406,2115.583882,2129.097792,2147.484085,2167.531925,2242.12032,2403.563698,2636.053052,2912.496904,3215.873034,3522.872151,3815.763525,4068.702451,4264.104068,4378.498715,4447.58005,4514.631057,4585.338771,4658.918556,4738.573836,4819.784587,4906.311841,5002.815188,5106.721646,5222.367036,5570.292269,5779.894618,5976.276518,6199.344235,6465.560236,6773.507547,7041.513558,7256.009223,7435.615436,7406.667102,7327.060018,7746.900966,7935.570129,7909.792367,8180.647431,8409.325613,8640.444045,8837.869319,9123.755918,9227.258503,9121.12527,9494.515703,9530.292753,9421.16412,9421.444217,9620.413269,9977.117278,9722.719932,9842.472009,9862.303869,9968.816852,9990.075747,9915.093855,10121.0314,10218.83369,10278.76332,10590.22033,10128.40716,9868.586122,9603.187087,9722.247312,9991.772281,10099.78688,10354.57088,10516.57055,10802.56173,10363.48133,10429.68145,10546.74194,10539.817,10446.42833,10593.89773,10759.04688,10866.28352
Atmospheric Concentration CH4,925.5521139,928.8003337,932.7311605,936.7834269,942.114268,947.4432729,953.0924225,959.1561178,964.0852966,969.3983663,974.787089,979.4653219,983.6058604,986.2423197,988.6108805,991.4610799,998.4538218,1003.570552,1010.130447,1017.630366,1025.070328,1032.200338,1039.10025,1045.130066,1049.450033,1052.159953,1053.600108,1055.770569,1060.640361,1066.660329,1072.640116,1077.490224,1081.960225,1086.540334,1091.770294,1097.080129,1101.830302,1106.319987,1110.630798,1116.909678,1120.120178,1123.240509,1128.190155,1132.660156,1136.27006,1139.320363,1143.660492,1149.640299,1155.630168,1160.349945,1163.820567,1168.81012,1174.310883,1183.360657,1194.430603,1206.65093,1221.1008,1235.800181,1247.420481,1257.320079,1264.119873,1269.461528,1282.571289,1300.790578,1317.370453,1331.060282,1342.240509,1354.271556,1371.650462,1389.341756,1411.100515,1431.120962,1449.290019,1462.860677,1476.14091,1491.740967,1509.110952,1527.680949,1546.8909,1566.160858,1584.940735,1602.650625,1618.73054,1632.620148,1643.500854,1655.910472,1668.791148,1683.749786,1693.940928,1705.630442,1717.400675,1729.330556,1740.139262,1743.100688,1748.620372,1755.229624,1757.190592,1761.501078,1770.29068,1778.199514,1778.010122,1776.530731,1778.960948,1783.589813,1784.230286,1783.360433,1783.421224,1788.951314,1798.419647,1802.101186,1807.850667,1813.07019,1815.26123,1822.580841,1831.470998
Atmospheric Concentration CO2,295.6749954,296.0069987,296.3249995,296.6539968,296.9539948,297.2889964,297.6619975,298.0979945,298.5179901,298.9359919,299.3769964,299.8289922,300.3529917,300.9099935,301.4189911,301.9369888,302.4849879,303.0109889,303.4489873,303.8139877,304.2459869,304.5999883,304.9449819,305.2709834,305.6299845,305.8129807,305.9539846,306.1769867,306.3289795,306.4949875,306.6199773,306.8219833,307.0929794,307.4019801,307.7849833,308.2269796,309.0119731,309.7639745,310.2939758,310.850975,311.3569768,311.8109741,312.1719767,312.389979,312.4129715,312.3849767,312.3899714,312.4859721,312.5209681,312.6319707,312.8209763,313.013972,313.3419774,313.7299678,314.0949682,314.4149704,314.6979675,314.9919612,315.3449656,315.8069661,316.6249669,317.2989629,318.0439631,318.6499634,319.332962,319.8159612,320.8799566,321.4799576,322.3889567,323.2509562,324.7829564,325.3999557,327.3489532,329.9089508,330.7559535,330.8269552,331.5449498,333.352946,335.0099487,336.6049474,338.7049459,340.0589498,340.6439412,342.265948,344.0079473,345.4589539,346.9029465,348.7749456,351.2759323,352.8939234,354.0729319,355.3529383,356.228948,356.9249598,358.2539597,360.2389552,362.0049616,363.2519557,365.9329554,367.8449783,369.1249746,370.6729889,372.834994,375.410998,376.9870021,378.9070079,381.0100072,382.6030197,384.7390188,386.2800217,388.7170308,390.9440206,393.0159912,395.7249781,397.5469793
Atmospheric Concentration N2O,279.4540482,279.6130473,279.8610509,280.1560415,280.4320424,280.7050451,280.9800466,281.2760442,281.6110433,281.9500453,282.3140437,282.7210414,283.019043,283.3620402,283.7160416,284.0470428,284.3120422,284.6150462,284.8050486,284.8510513,284.9290441,285.0390422,285.170049,285.467041,285.6050491,285.6520513,285.6920471,285.7400513,285.8330485,285.8910522,285.9380519,286.1240438,286.2220484,286.3710505,286.4670486,286.5870488,286.7470449,286.9510447,287.1910426,287.3870468,287.6190414,287.8640467,288.1380539,288.7810287,289.0000509,289.2270406,289.4270452,289.5110448,289.5560532,289.5980504,289.7390416,289.860054,290.0250524,290.3340403,290.5480499,290.844045,291.1870448,291.5120417,291.7720464,291.9870427,292.2830455,292.6020457,292.9450378,293.3270493,293.6850484,294.0450389,294.4530436,294.8600464,295.2690455,295.681043,296.0980377,296.5220439,296.95504,297.3990402,297.8550415,298.3260447,298.8140437,299.3190358,299.8450394,300.3930384,300.9650396,301.5620346,302.1870422,302.842041,303.528038,304.2470398,305.002037,305.7930349,306.6240438,307.8310242,308.6830368,309.2330373,309.7250392,310.0990524,310.8080292,311.2790553,312.2980194,313.1830317,313.9070053,314.7089895,315.7589951,316.4930166,317.1010183,317.7300059,318.3570175,319.1300023,319.9329987,320.6460139,321.5749919,322.2750066,323.1409938,324.1589839,325.0049922,325.9189911,326.9879913
